"","x"
"571","Magt1"
"572","Cep295"
"573","Gng11"
"574","Arpc4"
"575","Tnrc18"
"576","Zc3h12b"
"577","Atxn1"
"578","Cyp26b1"
"579","Ddx60"
"580","Vim"
"581","Gm42047"
"582","Klhl4"
"583","Kcnq5"
"584","Ssbp2"
"585","Taf1d"
"586","Lig1"
"587","Rnf187"
"588","Gm10419"
"589","Zfp532"
"590","Cks2"
"591","Pgk1"
"592","Ogt"
"593","Zfp36l2"
"594","Oxr1"
"595","Znrf2"
"596","Nckap1"
"597","Nt5c3"
"598","Hoxb3"
"599","Uck2"
"600","Clcn3"
"601","Fyb"
"602","Sorbs1"
