"","Chrm3","Cdk6","Il1rapl2","Gda","Trpc6","Cd34","Plcl1","Rora","Mecom","Rnf220","Dock10","Sult1a1","Magi2","Dlg2","H2afy","Slco3a1","Tox","Itsn1","Txnip","Plxdc2","Flt3","Slc22a3","Pbx1","Mmrn1","2610307P16Rik","Maml3","Ptpre","Eya4","Mdga1","Prkg1","Mllt3","Arhgap15","Sox4","Tespa1","Med12l","Satb1","Pitpnc1","Clnk","Exoc6b","Mpl","Fam117a","Alcam","St3gal1","Vav3","Pan3","Top2a","Sgms1","Tbxas1","Rad51b","Stmn1","Dnmt1","Ncam2","Abcg3","Prdm16","C530008M17Rik","Airn","Tgm2","Plac8","Samd12","Nbea","Vwf","Hacd4","Pdgfd","Cavin2","Mpo","Atp8b4","Grb10","Sell","Plxnc1","Lhcgr","9530026P05Rik","Myof","Kcnb2","Slc9a9","BC035044","Hdac9","Pdzk1ip1","Csgalnact1","Cacnb2","Car2","Cysltr2","Apoe","Tgfbr3","Neat1","Irf2bp2","Nfia","Parp8","Cmtm7","Plscr4","Pard3b","Dst","Adgrg3","Tmsb10","Prkn","Dennd4a","Hlf","Ifitm1","Clec2d","Ikzf2","Oxr1","Meis1","Pcdh7","Slc18a2","Dach1"
"Flt3",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.586034912718205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.516209476309227,0,0,0,0,0,0.428927680798005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.917705735660848,0,0,0,0,-0.962593516209476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.635910224438903,-0.718204488778055,0
"Slc22a3",0,0,0,0,0,0,0,0,0,0,0.536159600997506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556109725685786,0,0,0,0,0,0.179551122194514,0,0,0,0,0,0.14214463840399,0,0,0,0,0,0,0,0,0,0,0,0.610972568578554,0,0,-0.0972568578553616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224438902743142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pbx1",0,0,0,0.251870324189526,0,0,0,0,0,0,0,0,0,0,0,0,0.486284289276808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15211970074813,0,0,0,0,0,0,-0.127182044887781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.192019950124688,0,0,0,0,0,0,0,0,0,0,0,0,-0.057356608478803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mmrn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379052369077307,0,0,0,0.269326683291771,0,0,0,0.850374064837905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773067331670823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349127182044888
"2610307P16Rik",0,0,0,0,0,0,0,0,0,0.139650872817955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maml3",0,0,0,-0.605985037406484,0,0,0,-0.224438902743142,0,0,0.174563591022444,-0.643391521197007,0,0,0,0.625935162094763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179551122194514,0,0,-0.276807980049875,-0.645885286783042,0,0,0,0,0,0,-0.117206982543641,-0.42643391521197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144638403990025,0,0,0,0,-0.820448877805486,0,0,0,0,0,0,0,0,0,0,0,-0.623441396508728,0,0,0,0,0,0,0,0,-0.349127182044888
"Ptpre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463840399002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249376558603491,0
"Eya4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.493765586034913,0,0,-0.271820448877805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00997506234413965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72069825436409,0,0.72069825436409,0,0,0,0,0
"Mdga1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962593516209476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prkg1",0,0,0,0.433915211970075,0,0,0,0,0.660847880299252,0,0,0,0,0,-0.86783042394015,-0.942643391521197,0,0,0,0,0,0,0,0.688279301745636,0,0,0,0,0,0,0.433915211970075,0,0,0,0,0,0,0,0.0897755610972569,0.55860349127182,-0.770573566084788,0,0,0,0,0,0,0.675810473815461,0,0,0,0,0,0.683291770573566,0,0,0,0,0.84788029925187,0,0,0,0,0,-0.334164588528678,-0.266832917705736,0,0,0,0.144638403990025,0,0,0,-0.670822942643391,0,0,0.855361596009975,0,0,0,0,0,0,0.795511221945137,0,0,0,0,0,0,0,0,0,0,0,0.354114713216958,0,0,0,0,0,0.870324189526185,0.900249376558603,0.880299251870324
