"","Chrm3","Cdk6","Il1rapl2","Gda","Trpc6","Cd34","Plcl1","Rora","Mecom","Rnf220","Dock10","Sult1a1","Magi2","Dlg2","H2afy","Slco3a1","Tox","Itsn1","Txnip","Plxdc2","Flt3","Slc22a3","Pbx1","Mmrn1","2610307P16Rik","Maml3","Ptpre","Eya4","Mdga1","Prkg1","Mllt3","Arhgap15","Sox4","Tespa1","Med12l","Satb1","Pitpnc1","Clnk","Exoc6b","Mpl","Fam117a","Alcam","St3gal1","Vav3","Pan3","Top2a","Sgms1","Tbxas1","Rad51b","Stmn1","Dnmt1","Ncam2","Abcg3","Prdm16","C530008M17Rik","Airn","Tgm2","Plac8","Samd12","Nbea","Vwf","Hacd4","Pdgfd","Cavin2","Mpo","Atp8b4","Grb10","Sell","Plxnc1","Lhcgr","9530026P05Rik","Myof","Kcnb2","Slc9a9","BC035044","Hdac9","Pdzk1ip1","Csgalnact1","Cacnb2","Car2","Cysltr2","Apoe","Tgfbr3","Neat1","Irf2bp2","Nfia","Parp8","Cmtm7","Plscr4","Pard3b","Dst","Adgrg3","Tmsb10","Prkn","Dennd4a","Hlf","Ifitm1","Clec2d","Ikzf2","Oxr1","Meis1","Pcdh7","Slc18a2","Dach1"
"Flt3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658354114713217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0922693266832918,0,0,0,0,0.950124688279302,0,0,0,0,-0.226932668329177,0,0,-0.850374064837905,0.927680798004987,0,0,-0.665835411471322,0,0,0,0,0,0,0,0,0.670822942643391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.905236907730673,0,0,0,0,0,0,0.144638403990025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.850374064837905,-0.937655860349127,0
"Slc22a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937655860349127,0,0,0,0,0,0,0,0.790523690773067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1571072319202,0,0,0,0,0,0,0,0.117206982543641,0,0,0,0,0,0,0,0,0,0,0,-0.00498753117206983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pbx1",0,0,0,0.411471321695761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832917705735661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359102244389027,0,0,0,0
"Mmrn1",0,0,0.86783042394015,0.817955112219451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254364089775561,0,0,0,0,0,-0.184538653366584,0,-0.521197007481297,0,0,0,0,0,0,0,0,0,0,-0.812967581047382,0,0,0,0,0,0,0,0,0,0,0,0,-0.890274314214464,0,0,0,0,0,0.321695760598504,0,0,0,0,0,0,0.399002493765586,0,0,0,0,0,0,0,0,0.85286783042394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239401496259352,0,0,0,0,0,0,0,0,0,0,0,0.86783042394015,0,0,0,0
"2610307P16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124688279301746,0.179551122194514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.845386533665835,0,0,0,0,0,-0.241895261845387,0,0,0,0,0,0,0,0,0,-0.478802992518703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.693266832917706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maml3",0,0,0,0,0,0,0,-0.511221945137157,-0.620947630922693,0.935162094763092,0,0,0,0,0.0947630922693267,0,0,0,0,0,0,0,0,-0.805486284289277,0,0,0,0,0,0,-0.107231920199501,0,0.234413965087282,0,0,0,0,0.728179551122195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605985037406484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0997506234413965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922693266832918,0,0,0,0,0,0,0,0,0,0,0,0
"Ptpre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0972568578553616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685785536159601,0,0,0,0,-0.478802992518703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eya4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27930174563591,0,0,0,0,0,0,0,0,0,0,0.0523690773067332,0.463840399002494,0,0,0,0,0,0,0,0,0.735660847880299,0,0,0,0,0.28927680798005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0224438902743142,0.182044887780549,0,0,0.341645885286783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mdga1",-0.172069825436409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453865336658354,0,0,0,0,0,0,0,0,-0.249376558603491,0,0,0,0,0,0,0,0,0,-0.882793017456359,0,0,0,0,-0.249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00498753117206983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401496259351621,0
"Prkg1",0,0,0,0,0.359102244389027,0,0,0,0.930174563591022,0,-0.428927680798005,0,0,0,-0.463840399002494,0,0,0,0,0.740648379052369,0,0,0,0,0,-0.917705735660848,0,0,0,0,0,0,0,0,0,-0.860349127182045,0,0,0,0,0,0,0,0,0,0,0,0.0374064837905237,0,0,0,0,0,0,0,0,0,-0.850374064837905,0,0,0,0,0,0,-0.413965087281795,0,0,0,0,0,0,0,0,0,-0.768079800498753,0,0,0.728179551122195,0,0,0,0,0,0,0,0,0,0,0.832917705735661,0,0,-0.780548628428928,0,0,0,0,0,0,0,0,0,0,0,0
"Mllt3",0,0,0,0.817955112219451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44139650872818,0,0,0.553615960099751,0,0,-0.13216957605985,-0.922693266832918,0,0,0,0,0,0,0,0,0,0,-0.962593516209476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arhgap15",0,0,0,0,0,0,0,0,0,0,0,-0.72069825436409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897755610972569,0,0,0,0,0,0,0,0.139650872817955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.511221945137157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sox4",-0.533665835411471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13216957605985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.241895261845387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.478802992518703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.815461346633416,0,0,0,0,0,0,0,0,0,-0.603491271820449,0,0,0,0
"Tespa1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643391521197007,0,-0.249376558603491,0,0,0,0,0,0,0,0,0.144638403990025,0.266832917705736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Med12l",0,0,0,0,0.249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.528678304239402,0,0,0,0,0,0,0,0,0,0,0,0,-0.00498753117206983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770573566084788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219451371571072,0,0,0
"Satb1",0,0,0,0,0,0,0,-0.296758104738155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00748129675810474,0,0.498753117206983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371571072319202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.770573566084788,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pitpnc1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0.446384039900249,0,0,0.249376558603491,0,0,-0.516209476309227,0,0,0,0,0,0,0,0.0224438902743142,0,0,-0.249376558603491,0,0,0,0,0,0,-0.354114713216958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174563591022444,0,0.209476309226933,0
"Clnk",0,0,-0.0498753117206983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00997506234413965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4214463840399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exoc6b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354114713216958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mpl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0698254364089776,0,0,0,0,-0.0897755610972569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239401496259352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fam117a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448877805486284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259351620947631,0,0,0,0,0,0,0,0,0,-0.488778054862843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0399002493765586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alcam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0698254364089776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St3gal1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4214463840399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249376558603491,0,0,0,0,0,0.249376558603491,0,0,0,0,0,0,0,0,0,-0.117206982543641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149625935162095,0
"Vav3",0,0,0,0,-0.0598503740648379,0,0,0,0,0.638403990024938,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0673316708229426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513715710723192,0,0,0.351620947630923,0,0,0,0,0,0,0,0,0,0,0,0,-0.548628428927681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.600997506234414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pan3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00249376558603491,-0.216957605985037,0,0,0,0,0,0,0,0,0.281795511221945,0,0,0,0,0,0,0,0,-0.451371571072319,0,0,0,0,0,0,0.0149625935162095,0
